1001,1,Drill Machine,Electric drill with 500W,Available,New,Storage,15,Here is some notesssss
1002,2,Lawn Mower,Petrol lawn mower,Removed - For Sale,Used,Scrap Area,40,This is after testing again and again
1003,1,Power Washer,High pressure washer,Removed - For Sale,Used - Working,Selling Area,30,This is note
8101,3,Vacuum Cleaner,High-power vacuum cleaner,Available,New,Storage,25,Cleans carpets efficiently
8122,3,Pressure Cleaner,Heavy-duty pressure cleaner for outdoor use,Available,Used,Selling Area,75,Good for cleaning large surfaces
7654,2,Chainsaw,Gas-powered chainsaw for cutting wood,Available,Used,Storage,60,Used for heavy-duty cutting
3452,3,Carpet Cleaner,Steam cleaner for carpets,Removed - For Sale,Used,Scrap Area,35,Repaired and tested before sale
8765,1,Sand Blaster,Used for blasting sand onto surfaces to clean,Available,New,Selling Area,100,Works perfectly
4321,2,Generator,Portable gasoline generator,Available,New,Storage,80,Powerful and efficient
5432,2,Tree Trimmer,Electric tree trimmer,Available,New,Scrap Area,40,Used for trimming large branches
8761,1,Spot Welder,Used for welding small metal objects,Removed - For Sale,Used,Selling Area,55,Tested and ready for use
3411,1,Air Compressor,Heavy-duty air compressor,Available,New,Storage,120,Brand new and high-performance
9981,3,Tile Cutter,Cuts tiles to precise measurements,Available,Used,Selling Area,25,This unit is in good condition
2856,3,Ladder,Step ladder,Available,Used,Storage,10,Good for indoor use
1111,2,Pressure Washer,High-powered cleaning device,Available,New,Storage,45,Perfect for outdoor cleaning
1267,3,Electric Hedge Trimmer,Electric hedge trimmer for pruning,Removed - For Sale,Used,Scrap Area,60,Previously used and repaired
2545,4,Concrete Mixer,Heavy-duty mixer for mixing cement,Available,New,Storage,150,Used for construction work
7833,4,Jackhammer,Powerful hammer for breaking concrete,Available,New,Storage,200,Ideal for demolition work
4367,4,Welding Machine,Used for welding metal,Available,Used,Storage,100,In excellent condition
8974,5,Tent,Large outdoor tent for camping,Available,New,Storage,40,Perfect for group camping trips
5781,5,Camping Stove,Portable stove for outdoor cooking,Available,Used,Selling Area,25,Great for camping trips
9254,5,Climbing Gear,Full set of climbing tools and ropes,Available,Used,Storage,80,For experienced climbers
3694,6,Projector,Portable projector for presentations,Available,New,Selling Area,75,Great for meetings and events
2749,6,Shredder,Paper shredder for office use,Available,Used,Selling Area,35,Perfect for handling sensitive information
5401,6,Scanner,High-speed document scanner,Available,Used,Storage,50,Used for scanning large documents
7842,7,Microwave,Compact microwave for daily use,Available,New,Storage,60,Perfect for small kitchens
9736,7,Refrigerator,Large refrigerator with multiple compartments,Available,New,Storage,200,Efficient and spacious
2157,7,Iron,Electric iron for clothes,Available,Used,Selling Area,25,Good for quick ironing sessions
9328,8,Tire Changer,Heavy-duty tire changer,Available,New,Storage,150,Used for tire maintenance
2836,8,Oil Filter,Tool used to remove oil filters,Available,Used,Storage,30,Used in vehicle servicing
1134,8,Impact Wrench,Powerful tool for vehicle maintenance,Available,New,Storage,90,Used for car repairs
9452,9,Table Saw,Powerful saw for woodworking,Available,New,Storage,180,Ideal for precision cutting
4763,9,Lathe,Machine for shaping materials,Available,Used,Storage,200,Perfect for metalworking
8263,9,Bandsaw,Tool used for cutting metal and wood,Available,New,Selling Area,100,Good for detailed work
3529,10,Treadmill,Electric treadmill for running,Available,New,Storage,250,Perfect for indoor workouts
8216,10,Exercise Bike,Stationary bike for indoor cycling,Available,Used,Storage,80,Great for home fitness
7109,10,Dumbbells,Set of dumbbells for weightlifting,Available,Used,Selling Area,35,Used for strength training
3111,3,Cleaning Stuff,Cleaning Stuff,Available,New,Storage,14,Cleaning Stuff
